"failure_id","original_claim","tool_or_script","actual_fault","negative_or_discriminating_check","overturned_conclusion","corrected_conclusion","affected_sections","evidence_artifact","status"
"I-19","DiskPart 拒绝脚本 ⇒ 这块盘挂不上（环境不给力）","arm14.sh phase 4","两个仪器错叠加：cat << EOF 写出 LF 行尾（DiskPart 只收 CRLF 且不指名行）；Git Bash 把 /s 开关重写成 Windows 路径。报的是同一句话","arm15.sh：printf 写 CRLF 并断言 crlf 计数>0；MSYS_NO_PATHCONV=1 MSYS2_ARG_CONV_EXCL='*' 后 rc=0、卷自动出现 F:（普通 NTFS、无 BitLocker）、detach 干净","CTRL3 的“取不出文件”被当成通道死亡, 一度据此不排 BR7","离线只读挂盘是可用提取路径；障碍从“提取”移到“投送”","P4 4.15c / P3 3.2 行 19","C53_offline_extraction_channel.txt","closed"
"I-20","18 次 scp handshake-abort ⇒ 观察取不出客户机文件","arm12.sh phase 3 + harvest_now.sh","取的是一个不存在的文件：那次 push 断在 health.ps1(04:57:29 落地) 与 spawn7.ps1 之间，采集器从未上盘；超时在“文件不存在”与“管道死了”两种情况下字节同形","离线挂盘全目录枚举（6 个可能落点 0 命中）+ 家目录 newest-mtime 对比快照时刻","CTRL3 曾作为“通道不行”的证据, 并据此把 BR7 卡住","CTRL3 对通道无效；反向给出更紧的上界（SSH 在 04:57:29 还活着、下一次 push 前已死）；投送改为逐项 sha256 回读验证","P4 4.15c / P4 4.16-6 / P3 3.2 行 20","C53_offline_extraction_channel.txt","closed"
"I-21","PUSH NOT CONFIRMED ⇒ 投送窗口已关闭","arm17.sh phase 3(gsha/hsha 比较)","客户机 Get-FileHash 返回大写 hex，宿主 sha256sum 返回小写，字符串比较直接假阴性（失败方向安全：那时什么都还没启动）","同一文件两侧哈希归一化后重比即等","差点把“大小写”读成“通道死亡”, 从而再赔一臂","跨机比较哈希/ID 前统一大小写/空白/BOM；校验器自身要过对照","P3 3.2 行 21","arm17_CTRL4.out (log_CTRL4.txt)","closed"
"I-22","语法检查通过 ⇒ 脚本还在","python open(p,'w',newline=<非法值>) 与 py_compile","open 以 w 模式先把文件截成 0 字节再抛 ValueError ⇒ br7.ps1 与 verify_dominance.py 各自被吃掉；而 py_compile 对空文件返回成功，检查于是假绿","改前一次提交（verify_dominance 靠此恢复）；br7.ps1 无版本管理 ⇒ 只能按 selftest_br7.py 断言的 19 种记录形状重建并逐项核对 + PSParser 加“输入字节数>3000”断言","“脚本没改坏”这个判断本身没有输入非空断言","分析脚本纳入本地 git（不建 remote 不 push）；一切“检查通过”必须同时断言输入非空/条目数>0","P5 5.7 条 11 / LAYOUT 6","git 8727dda / dbfc459","closed"
"I-23","判定一页是否明文看熵就够（阈值 7.4）","verify_sink.py 第一、二版","自造阈值 + 自造派生判据：目标页 7.416 夹在码页 6.0-6.6 与数据页 7.85-7.9 之间；第二版“从页起点解出多少条”方向反了（数据页解得更多）；第三版“位移敏感性”五行全部无差异","同表放入 2 张已知码页 + 2 张已知 C12 数据页；有效判据是远端 rel32 目标落在镜像内的比例（码 99-100%、数 70-71%、目标 95%）","C51 初版把一页真代码印成“仍是密文，下面解码无意义”, 差点把落点判成未知被叫方","目标页是已解密的 VMProtect 变异代码（推断）；无对照的阈值不算判据；被对照否掉的判据要在件内标“此列不可引用”","P4 4.17(3) / P4 4.12 行 18","C51_256byte_sink_decoded.txt","closed"
"I-24","子树内没有任何 0x100 立即数 ⇒ 写入者不在其中","引用 C38 时的读取错误","同一证据件里有两张“256 立即数”清单：[] 那张属于 §2 的格式化例程 0x140789eb0，§4 命名子树那张一直印着 0x1407a21c0/a21d7/a21ff。把上一节的空表读成了本节的有界阴性","C50 覆盖式全段普查（99.9%）重新独立找到同三处站点 ⇒ 阴性是假的","交付④ 被错误地留在“必须等一次运行”的队列里, 白占预算","写入者已定位（256 次逐字节混合 + call 0x14117c32e）；证据件内每张清单必须自带归属行","P4 4.17 / P4 4.12 行 17 / P5 5.6-2","C50_append_size_sites_0x100.txt","closed"
"I-25","session 在 45 s 后仍存活 ⇒ 采集器已在客户机内执行","arm19.sh phase 2 的成功判据","把“ssh 会话还没退出”当成投递验证。BR7P 正是这样被当成投递成功的：会话随后被对端关闭，盘上没有任何采集器产物","CTRL6 给出一条真阳性参照：同一条 stdin 路径下 reply 里出现 SELF_SHUTDOWN_BEGIN、且离线挂盘能读到完整 52→100+ 行记录","BR7P 被当成有效实验并等满 30 分钟窗口","投送成功只认字节（回包签名行）与盘上记录两样；“挂不挂”不携带信息；arm20 的分类 K1-K4 写在启动之前","P3 3.2 行 25 / P4 4.19","offline_BR7P/clone_listing.txt","closed"
"I-26","子盘涨到 4.94 GB ⇒ 样本跑起来了","arm14 phase 2 的体积对比","会话期写入无法归因：家目录里没有任何晚于快照时刻的文件，样本的 stdout/stderr 也不存在；差异盘增长可以来自客户机自身后台活动","与 CTRL6（同底座、无样本、2.03 GB）对照——但对照本身不足以把增长归因到样本","差点把体积当成“样本已执行”的证据","子盘增长≈150-240 MB/min 且无样本的 CTRL4c 最大（25.7 min/6.18 GB）⇒ 增长只反映开机时长，与样本无关；跨臂比较前先除以时间","P3 3.2 行 26 / P4 4.19","log_arm14_BR7P.txt","closed"
"I-27","盘上没有 br7_stream.txt ⇒ scp / -EncodedCommand / stdin 三种投送全部失败 ⇒ 命中 ROADMAP B1 的停臂条件","arm19.sh phase 5 的硬编码 else 分支（arm18.sh phase 5 也有一句同义的“本底座允许的程度”）","三重错叠加：① 判词是写死在脚本里的字符串，打印它的时候 CTRL5/CTRL6 已经用同一条 stdin 路把同一份 11.6 KB 脚本投成功过（CTRL6 还带回 BRANCH_DONE+SELF_SHUTDOWN_BEGIN）；② 重试循环只在“投递进程已死”的分支里 sleep，进程挂着时 50 轮在数秒内空转完 ⇒ BR7P 总共只投了 1 次；③ 记录每 5 行才 FlushFileBuffers 一次，而新建文件的目录项属于父目录的 $I30，对文件刷盘提交不了它，只读挂载又不重放 $LogFile ⇒“文件不见了”与“文件从没存在过”同形","CTRL5 被硬关机仍带回 41 行（age=917 s）＝“没自关机≠没跑”；BR7P 会话挂 5 分钟后 closed by remote host、回包 0 字节＝“挂着≠跑了”；arm14 phase 6b 的 NEWFILE_COUNT 是取件通道自身的正对照；FLUSH_EVERY=1 之后 absence 才是证据","B1 的停臂条件被当成“已触发”，而它从未被检验过；“投送通道已死”是脚本印出来的，不是测出来的","判词不许硬编码在臂脚本里（只能由判据脚本从记录生成）；重试循环每一轮都必须 sleep；任何阴性必须带取件通道正对照；arm20.sh 取代 arm19.sh","P3 3.2 行 27 / P4 4.19 / ROADMAP B1","arm19_BR7P.out, log_arm14_BR7P.txt, offline_CTRL5/br7_stream.txt, offline_CTRL6/br7_stream.txt","closed"
"I-28","采集器 BOOT 行印 nolaunch=False ⇒ 对照臂其实启动了样本","br7.ps1 的 BOOT 记录（CTRL5/CTRL6 两条臂）","字段名与取值反了：印的是 $(-not $nolaunch)，所以 $nolaunch=$true 的对照臂印成 nolaunch=False","同一份记录里紧跟其后的 CONTROL_NOLAUNCH / SAMPLING_STOP control_arm_no_process 是独立的行为证据，两者对上了才敢用这条阴性","一次取反就足以把两条对照臂读成两条阳性；“自报状态”字段单独不可信","字段名与值同极性（改印开关本身）；任何自报状态都要另配一条行为证据","P3 3.2 行 24","offline_CTRL5/br7_stream.txt, offline_CTRL6/br7_stream.txt","closed"
